ym,strategy_return,benchmark_return,bbg_return,cum_strategy,cum_benchmark,cum_bbg
2007-02,0.004266666666666667,0.020013582426889165,0.016583097758427368,1.0000426666666666,1.000200135824269,1.0001658309775843
2007-03,0.0043,-0.0033417919113488126,-0.0004871447902571324,1.0000856685013333,1.0001667112170327,1.0001609587218447
2007-04,0.0042,0.005690601296476472,0.005151359254846888,1.0001276720994103,1.000223626716868,1.0002124806059554
2007-05,0.004091666666666667,-0.011695015544973236,-0.008977095946501201,1.0001685939899936,1.000106650408239,1.0001226905719025
2007-06,0.003941666666666667,-0.002463131377056338,-0.0004349126097473732,1.0002080173020733,1.0000820164675286,1.0001183409122083
2007-07,0.004016666666666667,0.019751872674346693,0.0165814592227993,1.0002481923241018,1.0002795513940603,1.0002841751270866
2007-08,0.0041333333333333335,0.016992265281469743,0.01567567929058189,1.000289535916051,1.0004495215489895,1.0004409764663738
2007-09,0.0033416666666666664,0.004708135457959839,0.0053925925925926155,1.000322962258043,1.0004966240676525,1.0004949261723641
2007-10,0.003183333333333333,0.009438281644378821,0.007865404010635624,1.0003548058723415,1.0005910537568745,1.0005736191404135
2007-11,0.003283333333333333,0.03541795763158667,0.03068975600246926,1.0003876508551341,1.0009454426723594,1.0008806927427527
2007-12,0.002625,5.8459620119438727e-05,0.0008006657504191494,1.0004139110309689,1.0009460278212627,1.000888706451662
2008-01,0.0028,0.025214532246326915,0.025386626350436314,1.0004419226204777,1.0011984116802162,1.0011427983277525
2008-02,0.0016333333333333332,0.009940270703978016,0.011396098909537633,1.0004582631718806,1.001297933512621,1.0012568895512757
2008-03,0.0015416666666666669,0.010436264518955074,0.006936767296361612,1.0004736869034379,1.0014024316135852,1.0013263444117426
2008-04,0.00115,-0.019622923956916616,-0.017186255821248442,1.0004851923508373,1.001205927175927,1.0011542539045866
2008-05,0.0011916666666666666,-0.014479970313647061,-0.011674226475083316,1.0004971147993793,1.0010609528548935,1.0010373768896208
2008-06,0.001575,0.010824855276153178,0.007856118146080338,1.0005128726289374,1.001169316254266,1.0011160195686357
2008-07,0.0015833333333333333,0.002602436172792544,0.004227105233969741,1.0005287140827541,1.0011953710467032,1.0011583377962971
2008-08,0.0014,0.015788156358902516,0.012492943573129134,1.0005427214847513,1.0013534413373422,1.0012834119425158
2008-09,0.0014333333333333333,0.007730588608138106,0.006120915349558942,1.0005570625970925,1.0014308518524055,1.00134469965257
2008-10,0.00442998487679036,-0.001625505636385749,-0.0011022901131203522,1.0006013871236492,1.0014145735374642,1.0013336619289475
2008-11,0.06897360136571812,0.06897360136571812,0.053070823408809975,1.0012915379356637,1.002105285233434,1.0018650779484028
2008-12,0.052262226758698294,0.052262226758698294,0.03387617673331955,1.0018148351897354,1.0026290077699636,1.002204471532838
2009-01,-0.04691354748399737,-0.04691354748399737,-0.029160574239000425,1.001344848311327,1.0021586389343151,1.0019122229538902
2009-02,-0.007586583321010754,-0.007586583321010754,-0.005259945118576859,1.0012688804500793,1.0020826093341637,1.0018595229208265
2009-03,0.02444519420407948,0.02444519420407948,0.021787629398101638,1.0015136425724105,1.0023275703741008,1.00207780436077
2009-04,-0.027809776727503066,-0.027809776727503066,-0.01824162008037533,1.0012351238645156,1.0020488253147015,1.001895009134789
2009-05,-0.01638632326651071,-0.01638632326651071,-0.010090673130795702,1.0010710582404614,1.001884626354897,1.0017939111843035
2009-06,-0.0010670736344658704,-0.0010670736344658704,-0.0021195617647229437,1.0010603760751366,1.0018739355082014,1.0017726775436007
2009-07,0.00435855387614692,0.00435855387614692,0.0041844636594090545,1.0011040078309608,1.0019176027234515,1.0018145963572425
2009-08,0.011406395335736952,0.011406395335736952,0.008904642517506778,1.001218197711816,1.0020318854061565,1.0019038043657362
2009-09,0.01096116340528247,0.01096116340528247,0.0077806341045414396,1.0013279428745105,1.002141719758489,1.0019817588348334
2009-10,-0.005359800626614397,-0.005359800626614397,-0.0004874951817336326,1.001274273693154,1.0020880069603137,1.0019768742220372
2009-11,0.013704283502408432,0.013704283502408432,0.013923074305547622,1.0014114911582574,1.0022253359417312,1.0021163802067594
2009-12,-0.03497011671290309,-0.03497011671290309,-0.026121343990692547,1.001061296391023,1.0018748565720261,1.0018546139398985
2010-01,0.01812005521020199,0.01812005521020199,0.015806008810471672,1.001242689250617,1.002056396849174,1.0020129671684461
2010-02,0.003550521292234099,0.003550521292234099,0.0039522115988079864,1.001278238585486,1.0020919750749044,1.0020525688411561
2010-03,-0.012092126635970701,-0.012092126635970701,-0.008470280803325014,1.001157162752898,1.0019708008442696,1.0019676921747782
2010-04,0.015378591734602265,0.015378591734602265,0.010479501073509923,1.0013111266255794,1.0021248898430313,1.0020726933898358
