ym,benchmark_return,strategy_return,cum_benchmark,cum_strategy
2007-02,2.005,0.81,1.02005,1.0081
2007-03,-0.3375,0.36,1.01660733125,1.01172916
2007-04,0.5725,0.36,1.0224274082214062,1.015371384976
2007-05,-1.17,-0.11,1.0104650075452157,1.0142544764525263
2007-06,-0.245,0.42,1.00798936827673,1.018514345253627
2007-07,1.9775,0.89,1.0279223580344024,1.0275791229263842
2007-08,1.7,1.6866666666666665,1.0453970381209872,1.044910957466409
2007-09,0.47000000000000003,0.42333333333333334,1.0503104042001556,1.0493344138530167
2007-10,0.9425000000000001,1.0333333333333332,1.0602095797597422,1.0601775361294978
2007-11,3.54,3.623333333333333,1.0977409988832372,1.09859130218859
2007-12,0.010000000000000009,-0.07666666666666667,1.0978507729831255,1.0977490488569122
2008-01,2.5175,2.383333333333333,1.1254891661929756,1.1239120678546686
2008-02,0.9975,0.7666666666666666,1.1367159206257507,1.1325287270415545
2008-03,1.0350000000000001,1.1166666666666665,1.1484809304042274,1.145175297826852
2008-04,-1.9625,-1.883333333333333,1.1259419921450444,1.1236078297177794
2008-05,-1.4525000000000001,-1.5166666666666666,1.1095876847091377,1.106566444300393
2008-06,1.0825,1.2166666666666668,1.1215989713961143,1.1200296693727145
2008-07,0.265,0.13,1.1245712086703141,1.1214857079428993
2008-08,1.5775000000000001,1.7666666666666664,1.1423113194870884,1.1412986221165573
2008-09,0.7775,0.71,1.1511927899961005,1.149401842333585
2008-10,-0.16499999999999992,-0.6699999999999999,1.149293321892607,1.14170084998995
2008-11,6.9,7.83,1.2285945611031968,1.231096026544163
2008-12,5.2225,6.363333333333333,1.2927579120568111,1.30943477036659
2009-01,-4.69,-5.753333333333334,1.2321275659813467,1.2340986232448323
2009-02,-0.76,-0.8299999999999998,1.2227633964798883,1.2238556046719002
2009-03,2.4450000000000003,2.673333333333333,1.2526599615238216,1.2565733445034624
2009-04,-2.7800000000000002,-3.2566666666666664,1.2178360145934592,1.2156509392507997
2009-05,-1.6425,-1.8633333333333333,1.1978330580537617,1.1929993100827598
2009-06,-0.10500000000000001,0.0733333333333333,1.1965753333428053,1.193874176243487
2009-07,0.43499999999999994,0.4099999999999999,1.2017804360428466,1.1987690603660852
2009-08,1.1400000000000001,1.2133333333333334,1.2154807330137352,1.2133141249651938
2009-09,1.0975000000000001,1.2366666666666668,1.2288206340585608,1.2283187763105967
2009-10,-0.5325,-0.7799999999999999,1.222277164182199,1.218737889855374
